ID;Mun/UF;MUNICIPIO;UF;LATITUDE;LONGITUDE
1350;ALAGOA - MG;ALAGOA;MG;-22,17;-44,64
1502;CASSIA - MG;CASSIA;MG;-20,58;-46,92
2622;IMACULADA - PB;IMACULADA;PB;-7,39;-37,5
1353;ALFENAS - MG;ALFENAS;MG;-21,42;-45,94
1454;CAMBUQUIRA - MG;CAMBUQUIRA;MG;-21,85;-45,29
3570;ARRAIAL DO CABO - RJ;ARRAIAL DO CABO;RJ;-22,96;-42,02
1539;CONQUISTA - MG;CONQUISTA;MG;-19,93;-47,54
1071;RIO QUENTE - GO;RIO QUENTE;GO;-17,77;-48,77
3061;LANDRI SALES - PI;LANDRI SALES;PI;-7,26;-43,93
2747;SUME - PB;SUME;PB;-7,67;-36,88
5216;RIFAINA - SP;RIFAINA;SP;-20,08;-47,42
2597;CONGO - PB;CONGO;PB;-7,79;-36,66
2915;SAO JOSE DO EGITO - PE;SAO JOSE DO EGITO;PE;-7,47;-37,27
1098;SENADOR CANEDO - GO;SENADOR CANEDO;GO;-16,7;-49,09
3120;SANTA ROSA DO PIAUI - PI;SANTA ROSA DO PIAUI;PI;-6,79;-42,28
2907;SANTA TEREZINHA - PE;SANTA TEREZINHA;PE;-7,37;-37,48
2676;PIANCO - PB;PIANCO;PB;-7,19;-37,92
2913;SAO JOSE DA COROA GRANDE - PE;SAO JOSE DA COROA GRANDE;PE;-8,89;-35,14
1044;OURO VERDE DE GOIAS - GO;OURO VERDE DE GOIAS;GO;-16,22;-49,19
2545;AMPARO - PB;AMPARO;PB;-7,56;-37,06
1630;FORTALEZA DE MINAS - MG;FORTALEZA DE MINAS;MG;-20,84;-46,71
1418;BOM JESUS DA PENHA - MG;BOM JESUS DA PENHA;MG;-21,01;-46,52
2538;AGUIAR - PB;AGUIAR;PB;-7,09;-38,17
3623;QUATIS - RJ;QUATIS;RJ;-22,4;-44,25
5448;MONTE DO CARMO - TO;MONTE DO CARMO;TO;-10,76;-48,1
3047;JERUMENHA - PI;JERUMENHA;PI;-7,08;-43,51
2589;CARRAPATEIRA - PB;CARRAPATEIRA;PB;-7,03;-38,34
2162;UBERLANDIA - MG;UBERLANDIA;MG;-18,91;-48,27
3614;PARACAMBI - RJ;PARACAMBI;RJ;-22,61;-43,7
1063;PORANGATU - GO;PORANGATU;GO;-13,44;-49,14
1456;CAMPANHA - MG;CAMPANHA;MG;-21,83;-45,4
1674;IBIRACI - MG;IBIRACI;MG;-20,46;-47,12
3644;SAQUAREMA - RJ;SAQUAREMA;RJ;-22,92;-42,51
2797;CAMOCIM DE SAO FELIX - PE;CAMOCIM DE SAO FELIX;PE;-8,35;-35,76
1829;MONSENHOR PAULO - MG;MONSENHOR PAULO;MG;-21,75;-45,54
3619;PINHEIRAL - RJ;PINHEIRAL;RJ;-22,51;-44
5490;SANTA TEREZA DO TOCANTINS - TO;SANTA TEREZA DO TOCANTINS;TO;-10,28;-47,8
1861;NOVA RESENDE - MG;NOVA RESENDE;MG;-21,12;-46,42
2961;BAIXA GRANDE DO RIBEIRO - PI;BAIXA GRANDE DO RIBEIRO;PI;-7,85;-45,21
799;VARZEA ALEGRE - CE;VARZEA ALEGRE;CE;-6,78;-39,29
